id,name,description,category,hsn_code,meta,created_at,updated_at,category_code
70,IRON AND STEEL~Ferrous waste and scrap; remelting scrap ingots of iron or steel~Other,,Iron and Steel,720449,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
71,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - OTHER WASTE AND SCRAP : OTHER,,Iron and Steel,72044900,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
72,IRON AND STEEL~Ferrous waste and scrap; remelting scrap ingots of iron or steel~Remelting scrap ingots,,Iron and Steel,720450,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
73,FERROUS WASTE AND SCRAP; REMELTING SCRAP INGOTS OF IRON OR STEEL - REMELTING SCRAP INGOTS,,Iron and Steel,72045000,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
74,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL",,Iron and Steel,7205,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
75,Granules,,Iron and Steel,720510,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
76,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF IRON : SHOT AND ANGULAR GRIT",,Iron and Steel,72051011,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
77,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF IRON : WIRE PELLETS",,Iron and Steel,72051012,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
78,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF IRON : OTHER",,Iron and Steel,72051019,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
79,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF ALLOY STEEL : SHOT AND ANGULAR GRIT",,Iron and Steel,72051021,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
80,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF ALLOY STEEL : WIRE PELLETS",,Iron and Steel,72051022,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
81,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OF ALLOY STEEL : OTHER",,Iron and Steel,72051029,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
82,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - GRANULES : OTHER",,Iron and Steel,72051090,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
83,"IRON AND STEEL~Granules and powders, of pig iron, spiegeleisen, iron or steel~Of alloy steel",,Iron and Steel,720521,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
84,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - POWDERS : OF ALLOY STEEL",,Iron and Steel,72052100,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
85,Other,,Iron and Steel,720529,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
86,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - POWDERS : OTHER : OF IRON",,Iron and Steel,72052910,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
87,"GRANULES AND POWDERS, OF PIG IRON, SPIEGELEISEN, IRON OR STEEL - POWDERS : OTHER : OTHER",,Iron and Steel,72052990,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
88,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203),,Iron and Steel,7206,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
89,Ingots,,Iron and Steel,720610,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
90,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - INGOTS : OF IRON,,Iron and Steel,72061010,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
91,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - INGOTS : OF HIGH CARBON STEEL,,Iron and Steel,72061020,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
92,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - INGOTS : OTHER,,Iron and Steel,72061090,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
93,Other,,Iron and Steel,720690,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
94,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OF IRON : PUDDLED BARS AND PILINGS,,Iron and Steel,72069011,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
95,"IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OF IRON : BLOCKS, LUMPS AND SIMILAR FORMS",,Iron and Steel,72069012,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
96,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OF IRON : OTHER,,Iron and Steel,72069019,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
97,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OTHER : PUDDLED BARS AND PILINGS,,Iron and Steel,72069091,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
98,"IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OTHER : BLOCKS, LUMPS AND SIMILAR FORMS",,Iron and Steel,72069092,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
99,IRON AND NON-ALLOY STEEL IN INGOTS OR OTHER PRIMARY FORMS (EXCLUDING IRON OF HEADING 7203) - OTHER : OTHER : OTHER,,Iron and Steel,72069099,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
100,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL,,Iron and Steel,7207,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
101,"Of rectangular (including square) cross-section, the width measuring less than twice the thickness",,Iron and Steel,720711,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
102,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : 7207 11 SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OF RECTANGULAR (INCLUDING SQUARE) CROSS-SECT...,,Iron and Steel,72071110,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
103,SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : 7207 11 SEMI-FINISHED PRODUCTS OF IRON OR NON-ALLOY STEEL - CONTAINING BY WEIGHT LESS THAN 0.25% OF CARBON : OF RECTANGULAR (INCLUDING SQUARE) CROSS-SECT...,,Iron and Steel,72071120,,2023-01-11 05:09:45.817216+00,2023-01-11 05:09:45.817216+00,72
